Reaction ID,Reaction: Links to Reaxys,Data Count,Number of Reaction Details,Reaction Rank,Record Type,Reactant,Product,Bin,Reaction,Reaction Details: Reaction Classification,Example label,Example title,Fulltext of reaction,Number of Reaction Steps,Multi-step Scheme,Multi-step Details,Number of Stages,Solid Phase,Time (Reaction Details) [h],Temperature (Reaction Details) [C],Pressure (Reaction Details) [Torr],pH-Value (Reaction Details),Other Conditions,Reaction Type,Subject Studied,Prototype Reaction,Named Reaction,Type of reaction description (Reaction Details),Location,Comment (Reaction Details),Product,Yield,Yield (numerical),Yield (optical),Stage Reactant,Reagent,Catalyst,Solvent (Reaction Details),References,Links to Reaxys
1637930,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=1637930&database=RX&origin=ReaxysOutput&ln=,(5 of 518),3,82,full reaction; has preparation,Limonene oxide,limonene.,116862,CC(=C)C1CCC2(C)OC2C1>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,4,,,,"Heating; other solvents, other temperatures, other reaction times, other catalysts",,,,,,,,limonene.,96 percent,96,,,lithium,biphenyl,"1,2-dimethoxyethane","Article; Pasha, M. Afzal; Ravindranath, B.; Indian Journal of Chemistry - Section B Organic and Medicinal Chemistry; vol. 22; 11; (1983); p. 1149;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=5575152&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
1637930,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=1637930&database=RX&origin=ReaxysOutput&ln=,(5 of 518),3,82,full reaction; has preparation,Limonene oxide,limonene.,116862,CC(=C)C1CCC2(C)OC2C1>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,82,,,,Heating,,,,,,,,limonene.,86 percent,86,,,lithium,,tetrahydrofuran,"Article; Gurudutt, K. N.; Ravindranath, B.; Tetrahedron Letters; vol. 21; (1980); p. 1173 - 1174;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=5548595&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
1637930,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=1637930&database=RX&origin=ReaxysOutput&ln=,(5 of 518),3,82,full reaction; has preparation,Limonene oxide,limonene.,116862,CC(=C)C1CCC2(C)OC2C1>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,24,110,,,Inert atmosphere,,,,,,scheme or table,chemoselective reaction,limonene.,68 percentChromat.,,,,isopropyl alcohol,,toluene,"Review; Noujima, Akifumi; Mitsudome, Takato; Mizugaki, Tomoo; Jitsukawa, Koichiro; Kaneda, Kiyotomi; Molecules; vol. 16; 10; (2011); p. 8209 - 8227;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=20046312&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
8998702,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=8998702&database=RX&origin=ReaxysOutput&ln=,(6 of 518),1,82,full reaction; has preparation,p-menth-1-ene,4-methylisopropylbenzene; crithmene; limonene.,326305; 326299; 161368,CC(C)C1CCC(C)=CC1>>CC(C)C1=CC=C(C)C=C1.CC(C)C1=CCC(C)=CC1.CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,16,100,1520.1,,,,,,,,,Title compound not separated from byproducts.,,,,,,oxygen,H5PV2Mo10O40,various solvent(s),"Article; Haimov, Adina; Neumann, Ronny; Chemical Communications; 8; (2002); p. 876 - 877;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=6337364&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
156095,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=156095&database=RX&origin=ReaxysOutput&ln=,(7 of 518),5,81,full reaction; has preparation,Pinene,limonene.,319348,CC1=CCC2CC1C2(C)C>>CC(=C)C1CCC(C)=CC1,Chemical behaviour,,,,1,,,,,,250 - 270,,,,,,,,,,dl-alpha-pinene,,,,,,,,,Article; Conant; Carlson; Journal of the American Chemical Society; vol. 51; (1929); p. 3464;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=1680250&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
156095,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=156095&database=RX&origin=ReaxysOutput&ln=,(7 of 518),5,81,full reaction; has preparation,Pinene,limonene.,319348,CC1=CCC2CC1C2(C)C>>CC(=C)C1CCC(C)=CC1,Chemical behaviour,,,,1,,,,,,250 - 270,,,,,,,,,,dl-pinene,,,,,,,,,"Article; Wallach; Justus Liebigs Annalen der Chemie; vol. 227; (1885); p. 286 Anm.; Justus Liebigs Annalen der Chemie; vol. 245; (1888); p. 196;; ; Article; Berthelot; Annales de Chimie (Cachan, France); vol. &lt;3&gt; 39; (1853); p. 16;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=1661683;1661689&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
156095,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=156095&database=RX&origin=ReaxysOutput&ln=,(7 of 518),5,81,full reaction; has preparation,Pinene,limonene.,319348,CC1=CCC2CC1C2(C)C>>CC(=C)C1CCC(C)=CC1,Chemical behaviour,,,,1,,,,,,286.84 - 386.84,91206.1,,,,Kinetics,Further Variations:; Temperatures; Pressures,,,,,,,,,,,,ethanol,Article; Anikeev; Ermakova; Chibiryaev; Kozhevnikov; Mikenin; Russian Journal of Physical Chemistry; vol. 81; 5; (2007); p. 711 - 716;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=7055661&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
156095,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=156095&database=RX&origin=ReaxysOutput&ln=,(7 of 518),5,81,full reaction; has preparation,Pinene,limonene.,319348,CC1=CCC2CC1C2(C)C>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,0.0166667,400,,,Inert atmosphere,,,Concentration; Pressure; Reagent/catalyst; Temperature; Time,,Experimental part,supporting information,,limonene.,69.7 percentChromat.,,,,water,,,"Article; Kawahara, Tomomi; Henmi, Yui; Onda, Natsu; Sato, Toshiyuki; Kawai-Nakamura, Akiko; Sue, Kiwamu; Iwamura, Hiizu; Hiaki, Toshihiko; Organic Process Research and Development; vol. 17; 12; (2013); p. 1485 - 1491;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=62319533&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
156095,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=156095&database=RX&origin=ReaxysOutput&ln=,(7 of 518),5,81,full reaction; has preparation,Pinene,limonene.,319348,CC1=CCC2CC1C2(C)C>>CC(=C)C1CCC(C)=CC1,Preparation,1.4,,"using alpha-pinene as a raw material, under the action of zirconia microcapsules loaded with acidic ionic liquid, at atmospheric pressure,In a liquid-solid multiphase stirred reactor, the reaction was carried out at 30  C for 45 min to obtain limonene.",1,,,,,0.75,30,760.051,,,,,Temperature; Time,,,Paragraph 0023; 0027; 0032; 0037; 0042; 0047; 0052,,,,,,,zirconia microcapsules loaded with acidic ionic liquid,,,"Patent; Suzhou Aitike Pharmaceutical Chemical Co., Ltd.; Hu Haiwei; (7 pag.)CN108002973; (2018); A;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=74011911&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
435708,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=435708&database=RX&origin=ReaxysOutput&ln=,(8 of 518),9,81,full reaction; has preparation,rac-alpha-pinene,limonene.,319348,CC1=CC[C@H]2C[C@@H]1C2(C)C>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,,75,,,,,,,,,,,,,,,,phosphoric acid,,,Patent; Hercules Powder Co.; US2097744; (1934);,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=1695137&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
435708,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=435708&database=RX&origin=ReaxysOutput&ln=,(8 of 518),9,81,full reaction; has preparation,rac-alpha-pinene,limonene.,319348,CC1=CC[C@H]2C[C@@H]1C2(C)C>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,,,,,Siedetemperatur,,,,,,,,,,,,,4-chloro-1-naphthylsulphonic acid,,,Article; Mosher; Journal of the American Chemical Society; vol. 69; (1947); p. 2139;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=1695277&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
435708,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=435708&database=RX&origin=ReaxysOutput&ln=,(8 of 518),9,81,full reaction; has preparation,rac-alpha-pinene,limonene.,319348,CC1=CC[C@H]2C[C@@H]1C2(C)C>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,,240,91200,,,,,,,,,,,,,,,iron,,,Article; Ipatjew; Chemische Berichte; vol. 43; (1910); p. 3547;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=1672871&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
435708,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=435708&database=RX&origin=ReaxysOutput&ln=,(8 of 518),9,81,full reaction; has preparation,rac-alpha-pinene,limonene.,319348,CC1=CC[C@H]2C[C@@H]1C2(C)C>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,,50 - 100,,,,,,,,,,,,,,,,oxalic acid; silica gel,,,Patent; Tanaka; Kuwata; US1784165; (1929);; ; Patent; Tanaka; Kuwata; DE563396; (1929); Fortschr. Teerfarbenfabr. Verw. Industriezweige; vol. 19; p. 752;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=1695278;1695279&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
435708,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=435708&database=RX&origin=ReaxysOutput&ln=,(8 of 518),9,81,full reaction; has preparation,rac-alpha-pinene,limonene.,319348,CC1=CC[C@H]2C[C@@H]1C2(C)C>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,,50 - 100,,,,,,,,,,,,,,,,silica gel; benzoic acid,,,Patent; Tanaka; Kuwata; US1784165; (1929);; ; Patent; Tanaka; Kuwata; DE563396; (1929); Fortschr. Teerfarbenfabr. Verw. Industriezweige; vol. 19; p. 752;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=1695278;1695279&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
435708,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=435708&database=RX&origin=ReaxysOutput&ln=,(8 of 518),9,81,full reaction; has preparation,rac-alpha-pinene,limonene.,319348,CC1=CC[C@H]2C[C@@H]1C2(C)C>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,,240,91200,,,,,,,,,,,,,,,copper(II) oxide,,,Article; Ipatjew; Chemische Berichte; vol. 43; (1910); p. 3547;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=1672871&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
435708,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=435708&database=RX&origin=ReaxysOutput&ln=,(8 of 518),9,81,full reaction; has preparation,rac-alpha-pinene,limonene.,319348,CC1=CC[C@H]2C[C@@H]1C2(C)C>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,,-20 - 158,,,,,,,,,,dl-limonene,,,,,,Fuller's Earth,,,Article; Venable; Journal of the American Chemical Society; vol. 45; (1923); p. 729;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=1679936&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
435708,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=435708&database=RX&origin=ReaxysOutput&ln=,(8 of 518),9,81,full reaction; has preparation,rac-alpha-pinene,limonene.,319348,CC1=CC[C@H]2C[C@@H]1C2(C)C>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,,,,,,,,,,,,dl-limonene,,,,,,sulfuric acid,,,"Article; Flawitzki; Chemische Berichte; vol. 12; (1879); p. 1022,1406;; ; Article; Wallach; Justus Liebigs Annalen der Chemie; vol. 239; (1887); p. 7; Justus Liebigs Annalen der Chemie; vol. 264; (1891); p. 6 Anm.;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=1521119;1662137&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
435708,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=435708&database=RX&origin=ReaxysOutput&ln=,(8 of 518),9,81,full reaction; has preparation,rac-alpha-pinene,limonene.,319348,CC1=CC[C@H]2C[C@@H]1C2(C)C>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,,250 - 270,,,,,,,,,,dl-limonene,,,,,,,,,"Article; Wallach; Justus Liebigs Annalen der Chemie; vol. 227; (1885); p. 286 Anm.; Justus Liebigs Annalen der Chemie; vol. 245; (1888); p. 196;; ; Article; Riban; Annales de Chimie (Cachan, France); vol. &lt;5&gt; 6; (1875); p. 216;; ; Article; Berthelot; Annales de Chimie (Cachan, France); vol. &lt;3&gt; 39; (1853); p. 16;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=1661683;1661688;1661689&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
538151,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=538151&database=RX&origin=ReaxysOutput&ln=,(9 of 518),8,81,full reaction; has preparation,"cis-4-hydroxy-alpha,alpha,4-trimethyl-cyclohexanemethanol, monohydrate",limonene.,115250,[H]O[H].CC(C)(O)[C@H]1CC[C@@](C)(O)CC1>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,,200,,,,,,,,,,,,,,,,phosphoric acid,,,"Article; Dehn; Jackson; Journal of the American Chemical Society; vol. 55; (1933); p. 4284,4286;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=1550732&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
538151,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=538151&database=RX&origin=ReaxysOutput&ln=,(9 of 518),8,81,full reaction; has preparation,"cis-4-hydroxy-alpha,alpha,4-trimethyl-cyclohexanemethanol, monohydrate",limonene.,115250,[H]O[H].CC(C)(O)[C@H]1CC[C@@](C)(O)CC1>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,,,,,Abdestillieren des entstehenden Wassers,,,,,,,,,,,,,potassium hydrogensulfate,,,"Article; Pirsch; Chemische Berichte; vol. 65; (1932); p. 1839,1842;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=1695267&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
538151,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=538151&database=RX&origin=ReaxysOutput&ln=,(9 of 518),8,81,full reaction; has preparation,"cis-4-hydroxy-alpha,alpha,4-trimethyl-cyclohexanemethanol, monohydrate",limonene.,115250,[H]O[H].CC(C)(O)[C@H]1CC[C@@](C)(O)CC1>>CC(=C)C1CCC(C)=CC1,Preparation,,,,1,,,,,,300,,,,,,,,,,,,,,,,copper,,,Article; Neave; Journal of the Chemical Society; vol. 101; (1912); p. 514;,https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=557133&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
