Reaction ID,Reaction: Links to Reaxys,Data Count,Number of Reaction Details,Reaction Rank,Record Type,Reactant,Product,Bin,Reaction,Reaction Details: Reaction Classification,Example label,Example title,Fulltext of reaction,Number of Reaction Steps,Multi-step Scheme,Multi-step Details,Number of Stages,Solid Phase,Time (Reaction Details) [h],Temperature (Reaction Details) [C],Pressure (Reaction Details) [Torr],pH-Value (Reaction Details),Other Conditions,Reaction Type,Subject Studied,Prototype Reaction,Named Reaction,Type of reaction description (Reaction Details),Location,Comment (Reaction Details),Product,Yield,Yield (numerical),Yield (optical),Stage Reactant,Reagent,Catalyst,Solvent (Reaction Details),References,Links to Reaxys
40544159,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=40544159&database=RX&origin=ReaxysOutput&ln=,(2 of 307),3,99,half reaction; has preparation,cellulose,propylene glycol; mannitol; D-sorbitol; ethylene glycol,,>>CC(O)CO.[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO.[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO.OCCO,Preparation,,2.2. Reaction,"General procedure: The reaction of cellulose conversion to glycolaldehyde was con-ducted in a ?16.7 mL batch reactor (length of 200 mm, OD of 16 mm,ID of 10 mm, Stainless steel 904L) equipped with a pressure gauge and a relief valve. This reactor system could cover a range in pres-sure and temperature up to 30 MPa and 400C, respectively. In a typical procedure, cellulose (0.1 g), a designated amount of cata-lyst, and water (10 mL) were put into the reactor which was then sealed. After that, the reactor was quickly heated by immersing it into the molten tin bath with a preset reaction temperature. After the desired reaction time, the reaction vessel was quickly move dinto an ice-water bath to stop the reaction. The real reaction time was calculated by subtracting the heating time (about 30 s) from the whole immersion time.The reaction of cellulose conversion to ethylene glycol wasconducted in a 75 mL stainless steel autoclave (Parr InstrumentCompany) typically at 6MPa H2 pressure (measured at room tem-perature) and 245C for 30 min. For each reaction, 0.25 g cellulose,0.075 g Ru/C, 0.0125 g H2WO4 and 25 mL water were put into there actor, and stirred at rate of 800 rpm.",1,,,,,0.5,245,45004.5,,Autoclave,,,,,Experimental part,,,propylene glycol; mannitol; D-sorbitol; ethylene glycol,5.4 percent; 5.5 percent; 14.3 percent; 41.3 percent,5.4; 5.5; 14.3; 41.3,,,hydrogenchloride; Rh/C; hydrogen; ortho-tungstic acid,,water,"Article; Xu, Gang; Wang, Aiqin; Pang, Jifeng; Zheng, Mingyuan; Yin, Jianzhong; Zhang, Tao; Applied Catalysis A: General; vol. 502; (2015); p. 65 - 70;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=66418986&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
40544159,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=40544159&database=RX&origin=ReaxysOutput&ln=,(2 of 307),3,99,half reaction; has preparation,cellulose,propylene glycol; mannitol; D-sorbitol; ethylene glycol,,>>CC(O)CO.[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO.[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO.OCCO,Preparation,,Catalytic Reaction,"The catalytic conversion of cellulose (Merck, microcrystalline with an average particle size of about 90 mum and a specific surface area of 1.7 m2 g-1) was carried outin a stainless-steel autoclave (Parr Instrument Company) at 5 MPa of H2 pressure (measured at room temperature) and 518 K. For each reaction, 0.25 g of cellulose, a designated amount of catalyst, and 25 mL of deionized water were placed in a 75 mL autoclave, and the resulting mixture was stirred at 800 rpm. For the recycling test, the catalysts were recovered after each run by filtration and washed several times with deionized water before being used in the next reaction together with the same amounts of cellulose and water used in the first run. The liquid-phase products were analyzed by HPLC on an Agilent 1200 system equipped with a Shodex Sugar SC1011 column and a differential refractive index detector (RID). HPLC analysis was conducted at a column temperature of 318 K using water as the mobile phase with a flow rate of 0.6 mL min-1. The samples were injected with an injection volume of 5.0 muL. Gaseous products were analyzed by GC on an Agilent 6890N system equipped with a TDX-1 column and a TCD. Cellulose conversions were determined by measuring the difference in the cellulose weight before and after the reaction. The polyol yields were calculated on the basis of the amount of carbon according to the equation: yield (C%) = (mass of carbon in the products)/(mass of carbon in the cellulose charged into the reactor) × 100%. The carbon content of the cellulose fed into the reactor was 4230 ppm.21 The yields of EG and 1,2-PG from the cited literature reports have also been presented in the carbon yields.",1,,,,,2,244.84,37503.8,,Autoclave,,,Reagent/catalyst,,Experimental part,,,,,,,,strontium nitrate; hydrogen,,water,"Article; Sun, Ruiyan; Wang, Tingting; Zheng, Mingyuan; Deng, Weiqiao; Pang, Jifeng; Wang, Aiqin; Wang, Xiaodong; Zhang, Tao; ACS Catalysis; vol. 5; 2; (2015); p. 874 - 883;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=65382534&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
40544159,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=40544159&database=RX&origin=ReaxysOutput&ln=,(2 of 307),3,99,half reaction; has preparation,cellulose,propylene glycol; mannitol; D-sorbitol; ethylene glycol,,>>CC(O)CO.[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO.[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO.OCCO,Preparation,,Catalytic Reaction,"The catalytic conversion of cellulose (Merck, microcrystalline with an average particle size of about 90 mum and a specific surface area of 1.7 m2 g-1) was carried outin a stainless-steel autoclave (Parr Instrument Company) at 5 MPa of H2 pressure (measured at room temperature) and 518 K. For each reaction, 0.25 g of cellulose, a designated amount of catalyst, and 25 mL of deionized water were placed in a 75 mL autoclave, and the resulting mixture was stirred at 800 rpm. For the recycling test, the catalysts were recovered after each run by filtration and washed several times with deionized water before being used in the next reaction together with the same amounts of cellulose and water used in the first run. The liquid-phase products were analyzed by HPLC on an Agilent 1200 system equipped with a Shodex Sugar SC1011 column and a differential refractive index detector (RID). HPLC analysis was conducted at a column temperature of 318 K using water as the mobile phase with a flow rate of 0.6 mL min-1. The samples were injected with an injection volume of 5.0 muL. Gaseous products were analyzed by GC on an Agilent 6890N system equipped with a TDX-1 column and a TCD. Cellulose conversions were determined by measuring the difference in the cellulose weight before and after the reaction. The polyol yields were calculated on the basis of the amount of carbon according to the equation: yield (C%) = (mass of carbon in the products)/(mass of carbon in the cellulose charged into the reactor) × 100%. The carbon content of the cellulose fed into the reactor was 4230 ppm.21 The yields of EG and 1,2-PG from the cited literature reports have also been presented in the carbon yields.",1,,,,,2,244.84,37503.8,,Autoclave,,,Reagent/catalyst,,Experimental part,,,,,,,,hydrogen,,water,"Article; Sun, Ruiyan; Wang, Tingting; Zheng, Mingyuan; Deng, Weiqiao; Pang, Jifeng; Wang, Aiqin; Wang, Xiaodong; Zhang, Tao; ACS Catalysis; vol. 5; 2; (2015); p. 874 - 883;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=65382534&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
29496683,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=29496683&database=RX&origin=ReaxysOutput&ln=,(3 of 307),5,98,half reaction; has preparation,cellulose,D-sorbitol; ethylene glycol,,>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO.OCCO,Preparation,,,,1,,,,,0.5,244.84,45004.5,,Autoclave,,,,,,supporting information; experimental part,,D-sorbitol; ethylene glycol,5.4 percent; 61.7 percent,5.4; 61.7,,,hydrogen,,,"Article; Zhang, Yanhua; Wang, Aiqin; Zhang, Tao; Chemical Communications; vol. 46; 6; (2010); p. 862 - 864;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=8867539&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
29496683,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=29496683&database=RX&origin=ReaxysOutput&ln=,(3 of 307),5,98,half reaction; has preparation,cellulose,D-sorbitol; ethylene glycol,,>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO.OCCO,Preparation,7,,"Example 7Experiments of Catalytic Degradation of Cellulose1.0 g of cellulose, 0.3 g of catalyst prepared as described above, and 100 mL water were charged in a 300 mL reactor. The reactor was filled with hydrogen and vented six times to remove air. Subsequently, hydrogen pressure in the reactor was increased to 6 MPa. The mixture was stirred at 1000 rpm. Meanwhile, the temperature therein was raised to 245 C. After reacting for thirty minutes, the mixture in the reactor was cooled to room temperature and filtered to yield a supernatant. The supernatant was analyzed using high performance liquid chromatography (HPLC) with a calcium ion-exchange column and detected using a refractive index detector. Cellulose conversions were determined by the change in the weight of dry solid before and after the reaction. The yield of liquid products was calculated according to the equation: yield (%)=(weight of the product)/(weight of cellulose)×100%.",1,,,,,0.5,245,45004.5,,,,,,,,Page/Page column 3,,D-sorbitol; ethylene glycol,5.4 percent; 61.7 percent,5.4; 61.7,,,hydrogen,Ni-WCx on active carbon (AC),water,"Patent; Dalian Institute of Chemical Physics, Chinese Academy of Sciences; US2012/178974; (2012); A1;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=20158616&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
29496683,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=29496683&database=RX&origin=ReaxysOutput&ln=,(3 of 307),5,98,half reaction; has preparation,cellulose,D-sorbitol; ethylene glycol,,>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO.OCCO,Preparation,,2.3 Catalytic experiments,"General procedure: 0.5g microcrystalline cellulose (crystallinity 85%, Alfa Aesar), 0.15g NiWB/CNTs and 15mL deionized water were put into a 50mL stainless steel autoclave and heated to the reactor to the preset temperature and then hydrogen was filled into the reactor with preset pressure. After reaction, the products were analyzed by a HPLC system (Shimadzu LC-20AB) equipped with RI detector and an USPpak MN-431 column.",1,,,,,2,249.84,45004.5,,Autoclave,,,Reagent/catalyst,,Experimental part,,,D-sorbitol; ethylene glycol,7.1 percent; 57.7 percent,7.1; 57.7,,,water; hydrogen,,,"Article; Liu, Haili; Qin, Lin; Wang, Xiaoyue; Du, Changhai; Sun, De; Meng, Xiangchun; Catalysis Communications; vol. 77; (2016); p. 47 - 51;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=68104661&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
29496683,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=29496683&database=RX&origin=ReaxysOutput&ln=,(3 of 307),5,98,half reaction; has preparation,cellulose,D-sorbitol; ethylene glycol,,>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO.OCCO,Chemical behaviour,,,,1,,,,,1,219.84,48754.9,,Inert atmosphere,,Catalytic behavior,Temperature,,Experimental part,,,D-sorbitol; ethylene glycol,13.8 percent; 24.4 percent,13.8; 24.4,,,water; hydrogen,,,"Article; Fabi?ovicova, Katarina; Lucas, Martin; Claus, Peter; Green Chemistry; vol. 17; 5; (2015); p. 3075 - 3083;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=66237393&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
29496683,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=29496683&database=RX&origin=ReaxysOutput&ln=,(3 of 307),5,98,half reaction; has preparation,cellulose,D-sorbitol; ethylene glycol,,>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO.OCCO,Preparation,,,,1,,,,,1,240,30003,,,,,Reagent/catalyst,,Experimental part,,,D-sorbitol; ethylene glycol,20.1 percent; 15.6 percent,20.1; 15.6,,,hydrogen,,water,"Article; Wang, Haiyong; Zhu, Changhui; Liu, Qiying; Tan, Jin; Wang, Chenguang; Liang, Zheng; Ma, Longlong; ChemSusChem; vol. 12; 10; (2019); p. 2154 - 2160;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=76209720&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
45350476,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=45350476&database=RX&origin=ReaxysOutput&ln=,(4 of 307),1,98,full reaction; has preparation,methyl D-glucopyranoside,D-sorbitol,263655,COC1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O>>[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO,Preparation,6,Example 6 Preparation of Sorbitol from Methyl Glucoside,"A mixture of 80.1 grams of methyl glucoside, 10.1 grams of Ru/C, and 300 milliliters of water was added to an autoclave reactor fitted with temperature and pressure controllers. Air was removed by bubbling hydrogen through the dip-tube 3 times. Hydrogen was charged at 850 psi at room temperature. The mixture was heated to 180 C. and held at that temperature for 3 hours. The reactor was cooled to room temperature and the remaining hydrogen was released. The reactor contents were filtered to remove the catalyst. The filtrate was evaporated under vacuum to obtain 100% yield of sorbitol.",1,,,,,3,180,43958.7,,Autoclave,,,Temperature,,,Paragraph 0066,,D-sorbitol,100 percent,100,,,ruthenium-carbon composite; hydrogen,,water,"Patent; Archer Daniels Midland Company; SANBORN, Alexandra; BINDER, Thomas P.; (12 pag.)US2017/121258; (2017); A1;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=71281666&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
36979263,https://www.reaxys.com/reaxys/secured/hopinto.do?context=R&query=RX.ID=36979263&database=RX&origin=ReaxysOutput&ln=,(5 of 307),2,97,half reaction; has preparation,cellulose,propylene glycol; mannitol; D-sorbitol; ethylene glycol; glycerol,,>>CC(O)CO.[H][C@@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO.[H][C@](O)(CO)[C@@]([H])(O)[C@]([H])(O)[C@]([H])(O)CO.OCCO.OCC(O)CO,Preparation,,2.4 Catalytic experiments,"General procedure: All the catalysts were pre-reduced by H2 for 2h at appropriate temperatures with heating rate of 5Cmin-1 before reaction. In a standard experiment, the reduced catalyst was transferred from the quartz tube to a 30mL Teflon-lined stainless steel autoclave (30 i.d×45mm) with 10mL water by a glass catheter, and then, the substrate was loaded into the reactor. The reactor was flushed with H2 for three times and then pressurized with 4MPa H2 (RT). After being heated to the desired temperature with stirring at a low agitating rate, the reaction was started with stirring at a rate of 1200rpm. After reaction, the products were centrifuged to separate the solid. The solid was dried at 70C overnight and weighted. The cellulose conversion was calculated by weight difference in the solid substrates before and after reaction.",1,,,,,4,240,30003,,Autoclave,,,,,Experimental part,,,propylene glycol; ethylene glycol; glycerol,10.4 percent; 6.6 percent; 21.3 percent,10.4; 6.6; 21.3,,,hydrogen,,,"Article; Liang, Guanfeng; He, Limin; Cheng, Haiyang; Li, Wei; Li, Xiaoru; Zhang, Chao; Yu, Yancun; Zhao, Fengyu; Journal of Catalysis; vol. 309; (2014); p. 468 - 476;",https://www.reaxys.com/reaxys/secured/hopinto.do?context=C&amp;query=CNR.CNR=62247695&amp;database=RX&amp;origin=ReaxysOutput&amp;ln=
